class,color_R,color_G,color_B,texture_0,texture_1,texture_2,texture_3,texture_4,edges_mean,spatial_mean,spatial_stddev,shape_area
Healthy,123.50455414261197,147.18617569043533,126.05503978779842,0.006479169917303792,0.04895849586518958,0.009744109845529723,0.08709822125136527,0.2260102980184116,2.2688992042440317,137.69102629115307,32.32242075447761,351443.5
Healthy,108.1366223279763,109.18270010922141,68.12490248088626,0.007473864877515993,0.022837026057107194,0.019868544234669994,0.12390193477921672,0.32743992822593226,8.09582228116711,104.18009244811984,53.78977748502762,196157.5
Healthy,141.66140193477924,156.27529255734126,133.29142611951943,0.017816742081447963,0.10704088001248245,0.010132235918239975,0.06572788266500235,0.26186222499609924,7.011604774535809,149.27536082072086,29.941170953698144,434128.5
Healthy,129.2328639413325,145.47196910594477,114.69862693087846,0.01131026681229521,0.07352551100015603,0.011649633328132314,0.07918356997971603,0.23732446559525666,4.310510610079576,137.1421419098143,33.49595285319705,334973.0
Healthy,137.5749063816508,167.50289631767828,121.53118271181152,0.0030777032298330473,0.028828600405679514,0.004708222811671088,0.07511117178967078,0.13571735060071774,0.7425397877984085,153.29934077079108,22.518858265132025,481422.5
Healthy,116.56964034950852,131.77856529879858,96.65366866905914,0.011735450148229054,0.06106451864565455,0.017582696208456858,0.09834412544858792,0.2706213917927914,7.408985411140583,123.20698626930879,40.05629287484037,184079.0
Healthy,108.67279411764707,127.82431346543923,107.51718871898893,0.00408605086596973,0.01893236074270557,0.008790372913090965,0.08941722577625215,0.1694784677796848,2.8353779840848805,119.76962084568575,36.76628642482261,174525.5
Healthy,87.45737049461695,114.94994929006086,84.72369909502264,0.008932750819160555,0.06710095178655016,0.01005812139179279,0.07489272897487907,0.23533897643938212,4.83670424403183,103.27171555624902,39.88957286709966,95442.0
Healthy,128.38708651895772,148.8764237790607,129.956845841785,0.009104384459354034,0.06605164612264004,0.011041114058355438,0.07734826025901076,0.23166445623342174,3.651525198938992,140.58661842721173,33.1735310559262,383333.0
Healthy,117.08970783273523,134.32873303167423,116.97034638789204,0.01257606490872211,0.07965946325479795,0.013422530816039944,0.08362849118427211,0.2283449056014979,4.875497347480106,127.18908176002496,41.46903873380003,266735.5
Healthy,108.38088820408801,122.0217565142768,82.57601224840069,0.014692229677016696,0.07698353877359962,0.014553752535496957,0.09047238258698705,0.2794761273209549,8.03962201591512,113.44244031830239,55.84454563191176,223141.0
Healthy,129.63882821032922,147.5812080667811,120.60854267436419,0.009962552660321424,0.07801334061476049,0.007994616944921205,0.07072281167108753,0.22039904821344983,3.684350132625995,139.12724488999845,34.36082036844915,332804.5
Healthy,125.79591394913405,157.06293103448277,110.59846309876737,0.007064284599781557,0.04584568575440787,0.012488297706350444,0.09127789046653144,0.2294000624122328,2.3315649867374004,142.42358792323296,27.46857998558843,448685.0
Healthy,122.35069043532533,154.43012365423624,96.32402090809799,0.002077157122796068,0.0203210329224528,0.004308394445311281,0.0785555468871899,0.17562997347480105,0.9956896551724138,138.2003023092526,30.360481156045072,291261.5
Healthy,121.61260337026059,154.64493875799658,100.45608129193323,0.005511780308940552,0.03938992042440318,0.008254017787486348,0.08520440006241223,0.18597285067873304,1.721816976127321,138.57886370728662,29.882415490565343,295361.5
Healthy,123.96274379778437,131.24960797316274,92.0890642065845,0.015889764393821188,0.026287252301451083,0.01658605086596973,0.07622679045092838,0.19617725074114525,13.643733421750664,124.60255500078016,46.227814688345575,269142.5
Healthy,118.5297452800749,153.36413246996412,96.45366281791232,0.001975737244499922,0.014563504446871586,0.005613200187236698,0.08491964425027305,0.19391480730223123,1.6994363395225465,136.46456740521143,29.828985257231732,323423.5
Healthy,104.67463332813232,141.78295170853488,91.49115111561866,0.004004134810422843,0.031518177562802306,0.0076240443126852865,0.09345841784989858,0.22122991106256826,1.6919761273209548,124.955888204088,32.095369851163284,190267.5
